subject,translated_subject,religious_likeliehood
Ordensliteratur:Augustiner,Order Literature: Augustinian,Very Likely
Ordensliteratur: Barefoot Augustinian,Order Literature: Augustinian,Very Likely
Ordensliteratur:Augustiner-Chorherren,Order Literature: Augustinian Canons,Very Likely
Ordensliteratur:Augustiner-Eremiten,Order Literature: Augustinian Hermits,Very Likely
Ordensliteratur:Barnabiten,Order Literature: Barnabites,Very Likely
Ordensliteratur:Benediktiner,Order Literature: Benedictine,Very Likely
Ordensliteratur:Dominikaner,Order Literature: Dominican,Very Likely
Ordensliteratur:Franziskaner,Order Literature: Fransiscan,Very Likely
Ordensliteratur:Jesuiten,Order Literature: Jesuit,Very Likely
Ordensliteratur:Kapuziner,Order Literature: Capuchin,Very Likely
Ordensliteratur:Karmeliter,Order Literature: Carmelite,Very Likely
Ordensliteratur:Kartäuser,Order Literature: Carthusian,Very Likely
Ordensliteratur:Minimen,Order Literature: Minimen,Very Likely
Ordensliteratur:Minoriten,Order Literature: Minority,Very Likely
Ordensliteratur:Oratorianer,Order Literature: Oration,Very Likely
Ordensliteratur:Pra¨monstratenser,Order Literature: Praemonstratensis,Very Likely
Ordensliteratur:Prämonstratenser,Order Literature: Praemonstratensis,Very Likely
Ordensliteratur:Theatiner,Order Literature: Theatines,Very Likely
Ordensliteratur:Unbeschuhte Karmeliter,Order Literature: Discalced Carmelites,Very Likely
Ordensliteratur:Zisterzienser,Order Literature: Cistercian,Very Likely
Pädagogik,Pedagogy,Unlikely
Perioche,Perioche,Unknown
Pflanzenbuch,Plants Book,Unlikely
Physik,Physics,Unlikely
Physiognomie,Physiognomy,Unlikely
Poetik,Poetics,Unknown
Porträtwerk,Portrait Work,Unknown
Praktik,Practice,Unknown
Predigt,Sermon,Very Likely
Predigtsammlung,Sermon Collection,Very Likely
Rechenbuch,Arithmetic Book,Unlikely
Rede,Speech,Unknown
Regesten,History of Legal Documents,Unlikely
Reisebericht,Travelogue,Unlikely
Rhetorik,Rhetoric,Unlikely
Roman,Novel,Unknown
Sage,Legend,Unknown
Satire,Satire,Unknown
Schäferdichtung,Pastoral Poetry,Very Likely
Schreibmeisterbuch,Writing Master Book,Unlikely
Schulbuch,School Book,Unlikely
Schulprogramm,School Program,Unlikely
Schwank,Farce,Unknown
Spiel,Play,Unknown
Sprachführer,Phrasebook,Unlikely
Sprichwortsammlung,Proverb Collection,Likely
Streitschrift,Polemic,Unknown
Streitschrift:jur.,Polemic: Legal,Unlikely
Streitschrift:polit.,Polemic: Political,Unlikely
Streitschrift:theol.,Polemic: Theology,Very Likely
Theaterzettel,Playbill,Unlikely
Tierbuch,Beastiary,Unlikely
Tiermedizin,Animal Medicine,Unlikely
Topographie,Topography,Very Unlikely
Totentanz,Dance of Death,Likely
Urkundenbuch,Collection of Medieval Documents,Unknown
Verordnung,Regulation,Unlikely
Verserzählung,Narrative Poem,Unknown
Vertrag,Contract,Unlikely
Volksbuch,Chapbook,Unknown
Vorlesung,Lecture,Unknown
Vorlesungsverzeichnis,Course Catalogue,Unlikely
Wappenbuch,Armorial,Very Unlikely
Wörterbuch,Dictionary,Very Unlikely
Zeitschrift,Magazine,Unlikely
Zeitung,Newspaper,Unlikely
Zitatensammlung,Quote Collection,Unknown
Zoologie,Zoology,Unlikely
